Starhill_Accession_number,Longitude,Latitude,Species_Name,Genus,Species,Subspecific,Parentage,Year_Died,New_Compartment,Old_Compartment,Lot,Year_Outplanted
2007-026,-89.80119911,39.93339728,Quercus_carrisoana,Quercus,carrisoana,,canariensis_robur,,B5,OOB,1,2007
2004-063,-89.8022652,39.93356139,Quercus_comptoniae,Quercus,comptoniae,,virginiana_lyrata F2,,A5,OOA,1,2004
2009-149,-89.80215,39.93273333,Quercus_comptoniae,Quercus,comptoniae,,virginiana_lyrata F2,,A6,OOOA,2,2009
1994-016,-89.80225858,39.93530047,Quercus_deamii,Quercus,deamii,,macrocarpa_muhlenbergii F2,,A2,AA,4,1994
1995-037,-89.80224668,39.93495698,Quercus_deamii,Quercus,deamii,,macrocarpa_muhlenbergii,,A2,AA,2,1995
2006-075,-89.8021026,39.9334645,Quercus_deamii,Quercus,deamii,,macrocarpa_muhlenbergii F2,,A5,OOA,5,2006
2008-070,-89.80206412,39.93300777,Quercus_deamii,Quercus,deamii,,macrocarpa_muhlenbergii F2,,A6,OOOA,5,2008
2007-027,-89.80198424,39.93339535,Quercus_deamii,Quercus,deamii, 'Champion Seedless',macrocarpa_muhlenbergii,,A5,OOA,1,2007
1999-050,-89.79839511,39.93569534,Quercus_deamii,Quercus,deamii,,macrocarpa_muhlenbergii F2,,F1,FFF,3,1999
2001-018,-89.79834231,39.93566324,Quercus_deamii,Quercus,deamii,,macrocarpa_muhlenbergii F2,,F1,FFF,4,2001
2018-011,-89.80187075,39.93196196,Quercus_egglestonii,Quercus,egglestonii,,F2,,A7,OOOOA,1,2018
2020-012,-89.80174775,39.93190463,Quercus_exacta,Quercus,exacta,,imbricaria_palustris F2,,,,2,
2000-049,-89.8019855,39.93491457,Quercus_faxonii,Quercus,faxonii,,alba_prinoides,,A2,AA,1,2000
2010-074,-89.80215825,39.93258205,Quercus_fernowii,Quercus,fernowii,,alba_stellata F2,,A6,OOOA,1,2010
2010-075,-89.80178509,39.93275044,Quercus_fernowii,Quercus,fernowii,,alba_stellata F2,,A6,OOOA,1,2010
2006-076,-89.80214249,39.93343843,Quercus_guadalupensis,Quercus,guadalupensis,,macrocarpa_stellata F2,,A5,OOA,1,2006
2007-028,-89.8021259,39.93338789,Quercus_guadalupensis,Quercus,guadalupensis,,macrocarpa_stellata F2,,A5,OOA,2,2007
2010-076,-89.80185986,39.93262849,Quercus_guadalupensis,Quercus,guadalupensis,,macrocarpa_stellata,,A6,OOOA,3,2010
2004-065,-89.80235087,39.93351513,Quercus_hawkinsiae,Quercus,hawkinsiae,,rubra_velutina (m),,A5,OOA,1,2004
2001-019,-89.80094388,39.93408283,Quercus_hawkinsiae,Quercus,hawkinsiae,,rubra_velutina (m),,C4,OC,1,2001
1999-051,-89.80087548,39.93397571,Quercus_hawkinsiae,Quercus,hawkinsiae,,rubra_velutina (m),,C4,OC,1,1999
2016-017,-89.80157965,39.93211979,Quercus_haynaldiana,Quercus,haynaldiana, 'Crisnetto',robur_frainetto,,B7,OOOOB,1,2016
2006-077,-89.80145945,39.93371227,Quercus_haynaldiana,Quercus,haynaldiana,,frainetto (f)_robur F1,,B4,OB,1,2006
2015-014,-89.80130062,39.93220864,Quercus_haynaldiana,Quercus,haynaldiana,Crisnetto',robur_frainetto,,B7,OOOOB,1,2015
2010-077,-89.80123574,39.93280526,Quercus_haynaldiana,Quercus,haynaldiana,,frainetto (f)_robur F1,,B6,OOOB,3,2010
2004-066,-89.80108872,39.93335864,Quercus_haynaldiana,Quercus,haynaldiana,,frainetto (f)_robur F1,,B5,OOB,2,2004
2020-027,-89.80181125,39.93186233,Quercus_hessiana,Quercus,hessiana,,alba_lyrata,,,,1,
2005-089,-89.80232086,39.93358268,Quercus_heterophylla,Quercus,heterophylla,,phellos_rubra F2,,A5,OOA,1,2005
2004-067,-89.80220703,39.93352158,Quercus_heterophylla,Quercus,heterophylla,,phellos_rubra F2,,A5,OOA,1,2004
2014-059,-89.80187947,39.93232741,Quercus_heterophylla,Quercus,heterophylla,,phellos_rubra F2,,A7,OOOOA,2,2014
2003-015,-89.8014048,39.93340096,Quercus_hickelii,Quercus,hickelii,,robur_pontica,,B5,OOB,1,2003
2004-068,-89.80138427,39.93344195,Quercus_hickelii,Quercus,hickelii,,robur_pontica,,B5,OOB,1,2004
2018-012,-89.80090667,39.93433119,Quercus_hispanica,Quercus,hispanica,,cerris_suber,,B7,OOOOB,1,2018
1983-029,-89.80231022,39.9351009,Quercus_humidicola,Quercus,humidicola,,lyrata (f)_bicolor F1,,A2,AA,1,1983
2009-150,-89.8021,39.93286667,Quercus_humidicola,Quercus,humidicola,,lyrata (f)_bicolor F2,,A6,OOOA,2,2009
2004-039,-89.80107456,39.93344933,Quercus_humidicola,Quercus,humidicola,,lyrata_ bicolor F2,,B5,OOB,3,2004
2001-020,-89.79845974,39.93587354,Quercus_humidicola,Quercus,humidicola,,lyrata (f)_bicolor F2,,F1,FFF,2,2001
2021-010,-89.8019,39.93236,Quercus_humidicola,Quercus,humidicola,,bicolor_lyrata,,,,NA,2021
2010-078,-89.80207192,39.93261147,Quercus_introgressa,Quercus,introgressa,,(muhlenbergii_prinoides)_bicolor F2,,A6,OOOA,1,2010
2009-151,-89.8019223,39.93297449,Quercus_introgressa,Quercus,introgressa,,(muhlenbergii_prinoides)_bicolor F2,,A6,OOOA,1,2009
2014-060,-89.80174134,39.93239606,Quercus_introgressa,Quercus,introgressa,,(muhlenbergii_prinoides)_bicolor F2,,A7,OOOOA,2,2014
2004-069,-89.80231281,39.93348856,Quercus_jackiana ,Quercus,jackiana,,alba_ bicolor F2,,A5,OOA,2,2004
2018-013,-89.80194259,39.93200228,Quercus_jackiana ,Quercus,jackiana,,,,A7,OOOOA,3,2018
2000-050,-89.79844348,39.93558881,Quercus_jackiana ,Quercus,jackiana,,alba_ bicolor F2,,F1,FFF,2,2000
1998-037,-89.79841649,39.93568579,Quercus_jackiana ,Quercus,jackiana,,alba_ bicolor F2,,F1,FFF,1,1998
2016-015,-89.80179079,39.93213538,Quercus_leana,Quercus,leana,,imbricaria_palustris,,A7,OOOOA,1,2016
2009-152,-89.8017,39.9329,Quercus_libanerris,Quercus,libanerris,,libani_cerris F2,,A6,OOOA,1,2009
2008-071,-89.80166667,39.93295,Quercus_libanerris,Quercus,libanerris,,libani_cerris F2 of 'Rotterdam',,B6,OOOB,1,2008
2020-028,-89.80128895,39.93187193,Quercus_libanerris_cerris,Quercus,libanerris,,libani_cerris,,,,2,
2005-092,-89.80213554,39.93355678,Quercus_mazei,Quercus,mazei,,gambelii_macrocarpa F2,,A5,OOA,3,2005
2005-091,-89.80211576,39.93360305,Quercus_mazei,Quercus,mazei,,gambelii_macrocarpa F2,,A5,OOA,2,2005
2011-044,-89.80194099,39.93250494,Quercus_mazei,Quercus,mazei,,gambelii_macrocarpa F2,,A6,OOOA,4,2011
2000-051,-89.80117824,39.9340566,Quercus_mazei,Quercus,mazei,,gambelii_macrocarpa F2,,B4,OB,1,2000
2017-019,-89.80214023,39.93207185,Quercus_megaleia,Quercus,megaleia,,macrocarpa_lyrata,,A7,OOOOA,3,2017
2015-015,-89.80211844,39.93213572,Quercus_megaleia,Quercus,megaleia,,macrocarpa_lyrata,,A7,OOOOA,1,2015
2017-021,-89.80238339,39.93236303,Quercus palmeri,Quercus,neopalmeri,,shumardii_nigra,,A7,OOOOA,1,2017
2019-010,-89.80186,39.93197,Quercus palmeri,Quercus,neopalmeri,,phellos_shumardii,,A7,OOOOA,1,2019
2003-060,-89.801223,39.93355427,Quercus_pseudodalechampii,Quercus,pseudodalechampii,,dalechampii_robur F2,,B5,OOB,1,2003
2012-014,-89.80208818,39.93239832,Quercus_richardsonii,Quercus,richardsonii,,laceyi_macrocarpa F2,,A7,OOOOA,1,2012
2014-061,-89.80175936,39.93232548,Quercus_richardsonii,Quercus,richardsonii,,laceyi_macrocarpa F2,,A7,OOOOA,1,2014
2008-069,-89.80173333,39.93546667,Quercus_rosacea,Quercus,rosacea , 'Firecracker' ('Columna' F2),petraea 'Muscaviensis'_robur 'Fastigiata' ,,B2,BB,3,2008
2011-042,-89.8014281,39.93264374,Quercus_rosacea,Quercus,rosacea,,F2,,B6,OOOB,4,2011
2013-101,-89.80131503,39.93232699,Quercus_rosacea,Quercus,rosacea,,F2,,B7,OOOOB,4,2013
2000-052,-89.79846502,39.93582878,Quercus_rosacea,Quercus,rosacea,,robur_petraea,,F1,FFF,2,2000
2020-013,-89.80155217,39.93203698,Quercus_rosacea,Quercus,rosacea,Controlled Burn',,,,,1,
2003-017,-89.80113231,39.93417436,Quercus_runcinata,Quercus,runcinata,,imbricaria_rubra F2,,B4,OB,2,2003
2001-021,-89.80103818,39.93383582,Quercus_runcinata,Quercus,runcinata,,imbricaria_rubra F2,,B4,OB,2,2001
2001-022,-89.80105285,39.93384177,Quercus_sargentii,Quercus,sargentii,,robur_montana,,B4,OB,2,2001
2001-061,-89.79831666,39.93563541,Quercus_sargentii_macrocarpa,Quercus,,,,,F1,FFF,1,2001
1982-038,-89.80219857,39.93522319,Quercus_saulii,Quercus,saulii, 'Montalba' or 'Atlas',montana (f)_alba,,A2,AA,1,1982
1996-045,-89.80102234,39.9341804,Quercus_saulii,Quercus,saulii,,montana (f)_alba 'Montalba' or 'Atlas',,B4,OB,1,1996
1994-017,-89.80235389,39.9352884,Quercus_schuettei,Quercus,schuettei,,bicolor_macrocarpa F2,,A2,AA,2,1994
1981-035,-89.80223503,39.93533375,Quercus_schuettei,Quercus,schuettei,,bicolor_macrocarpa,,A2,AA,1,1981
2010-081,-89.80190679,39.93265321,Quercus_schuettei,Quercus,schuettei,,bicolor_macrocarpa F2,,A6,OOOA,6,2010
2017-,-89.8017001,39.93201946,Quercus_schuettei,Quercus,schuettei, 'Silver Shadow',bicolor_macrocarpa,,A7,OOOOA,1,2017
2002-051,-89.79851958,39.9357976,Quercus_schuettei,Quercus,schuettei,,bicolor_macrocarpa,,F1,FFF,3,2002
2002-049,-89.79837768,39.93578218,Quercus_schuettei,Quercus,schuettei,,bicolor_macrocarpa F2,,F1,FFF,2,2002
2003-018,-89.79837458,39.93565268,Quercus_schuettei,Quercus,schuettei,,bicolor_macrocarpa F2,,F1,FFF,5,2003
2004-071,-89.79828279,39.93575745,Quercus_schuettei,Quercus,schuettei,,bicolor_macrocarpa F2,,F1,FFF,2,2004
2020-014,-89.80170112,39.93195253,Quercus_schuettei,Quercus,schuettei,,Kimberly' F2 'Jillian',,,,1,
1994-018,-89.80203847,39.93509478,Quercus_sternbergii,Quercus,sternbergii,,buckleyi_shumardii ,,A2,AA,2,1994
2014-062,-89.80182909,39.9323741,Quercus_sternbergii,Quercus,sternbergii,,buckleyi_shumardii ,,A7,OOOOA,4,2014
2000-053,-89.80085696,39.9340882,Quercus_sternbergii,Quercus,sternbergii,,buckleyi_shumardii ,,C4,OC,2,2000
2011-032,-89.8005449,39.9347792,Quercus_sternbergii,Quercus,sternbergii,,buckleyi_shumardii ,,C3,C,3,2011
2007-029,-89.80181795,39.93339149,Quercus_streamii,Quercus,streamii, 'Lanze',petraea_pubescens,,A5,OOA,1,2007
2005-093,-89.80140715,39.93328664,Quercus_streamii,Quercus,streamii,,petraea_pubescens,,B5,OOB,1,2005
2005-094,-89.80244282,39.93362878,Quercus_substellata,Quercus,substellata,,bicolor_stellata,,A5,OOA,2,2005
2014-063,-89.80236403,39.93288464,Quercus_substellata,Quercus,substellata,,bicolor_stellata,,A6,OOOA,3,2014
2006-078,-89.80218256,39.93322117,Quercus_substellata,Quercus,substellata,,bicolor_stellata,,A5,OOA,2,2006
2012-096,-89.8021689,39.93241098,Quercus_tottenii,Quercus,tottenii,,lyrata_michauxii F2,,A7,OOOOA,1,2012
2020-015,-89.80186633,39.93184448,Quercus_tottenii,Quercus,tottenii,,lyrata_michauxii F2,,,,2,
1994-019,-89.80144,39.935704,Quercus_turneri,Quercus,turneri, 'Pseudoturneri',,,Oak Street,Oak Street,1,1994
2008-073,-89.80208333,39.93298333,Quercus_undulata ,Quercus,undulata,,,,A6,OOOA,3,2008
1999-055,-89.80144,39.935704,Quercus_undulata ,Quercus,undulata,,,,Oak Street,Oak Street,1,1999
2006-079,-89.80144,39.935704,Quercus_undulata ,Quercus,undulata,,,,Oak Street,Oak Street,1,2006
2006-080,-89.80144,39.935704,Quercus_undulata ,Quercus,undulata,,,,Oak Street,Oak Street,1,2006
2018-014,-89.80129056,39.93203404,Quercus_undulata ,Quercus,undulata,Toll Gate Canyon,,,B7,OOOOB,1,2018
2005-095,-89.80069159,39.93523928,Quercus_undulata ,Quercus,undulata,,,,C2,CC,2,2005
2004-072,-89.80145275,39.93354589,Quercus_vilmoriniana ,Quercus,vilmoriniana,,dentata (f)_petraea F2,,B5,OOB,2,2004
2004-073,-89.80124823,39.93411611,Quercus_vilmoriniana ,Quercus,vilmoriniana,,dentata (f)_petraea,,B4,OB,1,2004
2014-064,-89.80187142,39.93552335,Quercus_warei,Quercus,warei,, 'Kindred Spirit' F2,,A1,AAA ,1,2014
2012-070,-89.80185994,39.93553718,Quercus_warei,Quercus,warei, 'Birthday Candle',(robur 'Fastigiata'_bicolor)_alba ,,A1,AAA,2,2012
2010-080,-89.80182541,39.93550197,Quercus_warei,Quercus,warei, 'Windcandle',robur fastigiata (f)_bicolor F2,,A1,AAA,2,2010
2013-019,-89.80164872,39.93545696,Quercus_warei,Quercus,warei, 'Riverbank',robur fastigiata_bicolor,,B2,BB,1,2013
2001-024,-89.80136667,39.93536667,Quercus_warei,Quercus,warei, 'Birthday Candle',(robur 'Fastigiata'_bicolor)_alba ,,B2,BB,1,2001
1995-039,-89.80131667,39.93536667,Quercus_warei,Quercus,warei, 'Windcandle',robur fastigiata (f)_bicolor F2,,B2,BB,1,1995
1998-038,-89.8013,39.93536667,Quercus_warei,Quercus,warei, 'Long' TM-Regal Prince,robur fastigiata (f)_bicolor F2,,B2,BB,1,1998
2001-025,-89.80115,39.93546667,Quercus_warei,Quercus,warei, 'Chimney Fire',(robur 'Fastigiata'_bicolor)_alba ,,B2,BB,1,2001
1993-014,-89.80089242,39.93526812,Quercus_warei,Quercus,warei, 'Nadler' TM-Kindred Spirit,robur fastigiata_bicolor,,C2,CC,1,1993
2017-022,-89.80223461,39.93248818,Quercus acerifolia,Quercus,acerifolia,,( ellipsoidalis?),,A6,OOOA,3,2017
2001-026,-89.80032647,39.93604177,Quercus acerifolia,Quercus,acerifolia,,,,C1,CCC,1,2001
2011-078,-89.80144,39.935704,Quercus acutifolia,Quercus,acutifolia,,,,Oak Street,Oak Street,1,2011
2011-079,-89.80144,39.935704,Quercus acutifolia,Quercus,acutifolia,,,,Oak Street,Oak Street,2,2011
2016-091,-89.80144,39.935704,Quercus acutifolia,Quercus,acutifolia,,,,Oak Street,Oak Street,2,2016
2016-092,-89.80144,39.935704,Quercus acutissima,Quercus,acutissima,,,,Oak Street,Oak Street,3,2016
2018-015,-89.80125954,39.93196204,Quercus acutissima,Quercus,acutissima,,,,B7,OOOOB,4,2018
2010-083,-89.80238255,39.93295236,Quercus alba,Quercus,alba, 'Gatton Grave',,,A6,OOOA,1,2010
2006-042,-89.80236663,39.93308555,Quercus alba,Quercus,alba,,Wye Oak F2,,A5,OOA,4,2006
2012-066,-89.80226839,39.93240788,Quercus alba,Quercus,alba, 'Gatton Grave',,,A7,OOOOA,1,2012
1900-039,-89.80223235,39.93537641,Quercus alba,Quercus,alba,,,,A2,AA,9,spontaneous
2007-031,-89.8022041,39.93309134,Quercus alba,Quercus,alba,, 'Late Nut' F2,,A5,OOA,5,2007
2007-030,-89.80212774,39.93286452,Quercus alba,Quercus,alba,, 'Late Nut' F2,,A6,OOOA,5,2007
2009-156,-89.80206667,39.93291667,Quercus alba,Quercus,alba,Gudgel Oak,,,A6,OOOA,6,2009
2016-019,-89.80196949,39.93212147,Quercus alba,Quercus,alba, 'Pathfinder',,,A7,OOOOA,1,2016
2009-158,-89.80195818,39.93286628,Quercus alba,Quercus,alba,,,,A6,OOOA,7,2009
2019-011,-89.80195,39.93196,Quercus alba,Quercus,alba,Pathfinder',,,A7,OOOOA,2,2019
2014-065,-89.80173094,39.93272874,Quercus alba,Quercus,alba," ""Golf Course""",,,A6,OOOA,10,2014
2014-066,-89.80168124,39.93267828,Quercus alba,Quercus,alba, 'Gatton Grave',,,B6,OOOB,1,2014
1992-022,-89.80161033,39.93477182,Quercus alba,Quercus,alba,,,,B3,B,1,1992
2002-020,-89.80126088,39.93393003,Quercus alba,Quercus,alba, 'Jasper',,,B4,OB,1,2002
2002-021,-89.80121931,39.9341519,Quercus alba,Quercus,alba,,Lincoln Vault Oak,,B4,OB,3,2002
1995-015,-89.80225531,39.93492069,Quercus aliena,Quercus,aliena,,,,A2,AA,1,1995
2006-043,-89.80153464,39.93316988,Quercus aliena,Quercus,aliena,,,,B5,OOB,2,2006
2007-032,-89.8013789,39.9331993,Quercus aliena,Quercus,aliena,,,,B5,OOB,2,2007
2018-016,-89.80122526,39.93204494,Quercus aliena,Quercus,aliena,,,,B7,OOOOB,3,2018
2000-017,-89.80115896,39.93412944,Quercus aliena,Quercus,aliena,,,,B4,OB,1,2000
1996-019,-89.80144,39.935704,Quercus arizonica,Quercus,arizonica,,,,Oak Street,Oak Street,1,1996
2000-018,-89.80117824,39.9340566,Quercus arkansana,Quercus,arkansana,,,,B4,OB,1,2000
2010-085,-89.80076719,39.93460125,Quercus arkansana,Quercus,arkansana,,,,C3,C,3,2010
2001-028,-89.80028515,39.93594093,Quercus arkansana,Quercus,arkansana,,,,C1,CCC,2,2001
2002-022,-89.80008968,39.93611075,Quercus arkansana,Quercus,arkansana,,,,D1,DDD,2,2002
2006-044,-89.80229957,39.93325395,Quercus austrina,Quercus,austrina,,,,A5,OOA,1,2006
2005-048,-89.80229102,39.93321581,Quercus austrina,Quercus,austrina,,,,A5,OOA,1,2005
2009-159,-89.80224308,39.93264198,Quercus austrina,Quercus,austrina,,,,A6,OOOA,2,2009
2005-049,-89.80224056,39.93315856,Quercus austrina,Quercus,austrina,,,,A5,OOA,1,2005
2010-087,-89.80150622,39.93275682,Quercus baronii,Quercus,baronii,,,2011,,OOOB,1,2010
2013-082,-89.80144,39.935704,Quercus baronii,Quercus,baronii,,,,Oak Street,Oak Street,2,2013
1982-027,-89.80233343,39.9351299,Quercus bicolor,Quercus,bicolor,,,,A2,AA,1,1982
1992-023,-89.80230988,39.93502622,Quercus bicolor,Quercus,bicolor,,,,A2,AA,2,1992
2000-019,-89.79825337,39.93596331,Quercus bicolor,Quercus,bicolor,,,,F1,FFF,3,2000
1997-045,-89.79849695,39.93571789,Quercus bicolor_muehlenbergii,Quercus,,,bicolor_muehlenbergii F2,,F1,FFF,1,1997
1998-039,-89.7984501,39.93575301,Quercus bicolor_muehlenbergii,Quercus,,,bicolor_muehlenbergii F2,,F1,FFF,2,1998
2000-055,-89.79841506,39.93578243,Quercus bicolor_muehlenbergii,Quercus,,,bicolor_muehlenbergii F2,,F1,FFF,3,2000
2005-050,-89.80235288,39.93327306,Quercus boyntonii,Quercus,boyntonii,,,,A5,OOA,1,2005
2006-045,-89.80111672,39.93548119,Quercus boyntonii,Quercus,boyntonii,,,,Oak Street,Oak Street,1,2006
2016-093,-89.80144,39.935704,Quercus brantii,Quercus,brantii,,,,Oak Street,Oak Street,3,2016
2017-073,-89.80144,39.935704,Quercus brantii,Quercus,brantii,,,,Oak Street,Oak Street,4,2017
2017-023,-89.80226998,39.9322135,Quercus buckleyi,Quercus,buckleyi,,,,A7,OOOOA,5,2017
2011-029,-89.80176631,39.93263913,Quercus buckleyi,Quercus,buckleyi,,,,A6,OOOA,4,2011
1997-034,-89.80085956,39.93414729,Quercus buckleyi,Quercus,buckleyi,,,,C4,OC,1,2000
2000-021,-89.80056667,39.93483333,Quercus buckleyi,Quercus,buckleyi,,,,C3,C,1,2000
2001-029,-89.80023393,39.93596516,Quercus buckleyi,Quercus,buckleyi,,,,C1,CCC,3,2001
1994-022,-89.80144,39.935704,Quercus calliprinos,Quercus,calliprinos,,,,Oak Street,Oak Street,1,1994
2006-046,-89.80163723,39.93329334,Quercus canariensis,Quercus,canariensis,,,,B5,OOB,2,2006
1999-018,-89.80144,39.935704,Quercus canariensis,Quercus,canariensis,,,,Oak Street,Oak Street,2,1999
2001-032,-89.80144,39.935704,Quercus canariensis,Quercus,canariensis,,,,Oak Street,Oak Street,4,2001
1991-019,-89.80144,39.935704,Quercus canbyi,Quercus,canbyi,,,,Oak Street,Oak Street,2,1991
1999-020,-89.80144,39.935704,Quercus canbyi,Quercus,canbyi,,,,Oak Street,Oak Street,4,1999
2000-022,-89.80144,39.935704,Quercus canbyi,Quercus,canbyi,,,,Oak Street,Oak Street,3,2000
2006-047,-89.80068647,39.93519561,Quercus canbyi,Quercus,canbyi,,,,C2,CC,1,2006
2004-032,-89.80171116,39.93341479,Quercus castaneifolia,Quercus,castaneifolia,,,,B5,OOB,3,2004
2005-051,-89.80168853,39.93346903,Quercus castaneifolia,Quercus,castaneifolia,,,,B5,OOB,3,2005
2006-048,-89.80164117,39.93322712,Quercus castaneifolia,Quercus,castaneifolia,,Kew F2,,B5,OOB,4,2006
2016-020,-89.80155786,39.93217654,Quercus castaneifolia,Quercus,castaneifolia,,,,B7,OOOOB,6,2016
2015-083,-89.80151159,39.93217411,Quercus castaneifolia,Quercus,castaneifolia,, cerris?,,B7,OOOOB,5,2015
2000-023,-89.80093315,39.93397353,Quercus castaneifolia,Quercus,castaneifolia,, 'Greenspire' F2,,B4,OB,1,2000
2004-034,-89.80154403,39.93352669,Quercus cerris,Quercus,cerris,,,,B5,OOB,5,2004
2007-033,-89.80153975,39.93338244,Quercus cerris,Quercus,cerris,, 'Wodan' F2,,B5,OOB,1,2007
2005-053,-89.80145333,39.93341245,Quercus cerris,Quercus,cerris,,,,B5,OOB,7,2005
2003-023,-89.80130296,39.9335546,Quercus cerris,Quercus,cerris,,,,B5,OOB,5,2003
2018-017,-89.80128419,39.93197864,Quercus cerris,Quercus,cerris,,,,B7,OOOOB,9,2018
2001-033,-89.80091773,39.93389013,Quercus cerris,Quercus,cerris,,,,B4,OB,4,2001
1995-016,-89.80144,39.935704,Quercus chapmanii,Quercus,chapmanii,,,,Oak Street,Oak Street,1,1995
1982-028,-89.80221525,39.93510056,Quercus chenii,Quercus,chenii,,,,A2,AA,1,1982
2017-075,-89.80144,39.935704,Quercus coccifera,Quercus,coccifera,calliprinos,,,Oak Street,Oak Street,1,2017
2003-024,-89.80034659,39.93506989,Quercus coccinea,Quercus,coccinea,,,,C2,CC,2,2003
2001-035,-89.80020158,39.93600707,Quercus coccinea,Quercus,coccinea,,,,D1,DDD,1,2001
2002-023,-89.80016629,39.93601386,Quercus coccinea,Quercus,coccinea,,,,D1,DDD,5,2002
2011-085,-89.80144,39.935704,Quercus corrugata,Quercus,corrugata,,,,Oak Street,Oak Street,1,2011
2011-086,-89.80144,39.935704,Quercus corrugata,Quercus,corrugata,,,,Oak Street,Oak Street,1,2011
2011-087,-89.80144,39.935704,Quercus corrugata,Quercus,corrugata,,,,Oak Street,Oak Street,1,2011
2014-112,-89.80144,39.935704,Quercus crassipes,Quercus,crassipes,,,,Oak Street,Oak Street,1,2014
2003-025,-89.80145233,39.93348939,Quercus crispula,Quercus,crispula,,,,B5,OOB,3,2003
2002-024,-89.80130682,39.9338478,Quercus crispula,Quercus,crispula,,,,B4,OB,2,2002
2006-049,-89.80175081,39.93332947,Quercus dalechampii,Quercus,dalechampii,,,,B5,OOB,1,2006
1982-029,-89.80209212,39.93509763,Quercus dentata,Quercus,dentata,,,,A2,AA,1,1982
2014-113,-89.80134361,39.93302068,Quercus dentata,Quercus,dentata, 'Pinnatifida',,,B6,OOOB,3,2014
2015-016,-89.80129885,39.93261307,Quercus dentata,Quercus,dentata,,,,B6,OOOB,4,2015
1997-035,-89.80107615,39.93412298,Quercus dentata,Quercus,dentata,,,,B4,OB,3,1997
